"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 23 18:26:15 GMT 2025","Sun Feb 23 18:26:15 GMT 2025","510","chromium","test.test.ts","","","","Test 1",""
"passed","Sun Feb 23 18:26:16 GMT 2025","Sun Feb 23 18:26:17 GMT 2025","1260","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 18:26:10 GMT 2025","Sun Feb 23 18:26:11 GMT 2025","460","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 23 18:26:09 GMT 2025","Sun Feb 23 18:26:09 GMT 2025","460","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Sun Feb 23 18:25:36 GMT 2025","Sun Feb 23 18:26:08 GMT 2025","32440","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Sun Feb 23 18:26:25 GMT 2025","Sun Feb 23 18:26:27 GMT 2025","1957","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 18:26:13 GMT 2025","Sun Feb 23 18:26:15 GMT 2025","1909","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 18:26:11 GMT 2025","Sun Feb 23 18:26:13 GMT 2025","2002","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 18:26:20 GMT 2025","Sun Feb 23 18:26:23 GMT 2025","2134","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 18:26:17 GMT 2025","Sun Feb 23 18:26:18 GMT 2025","783","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 23 18:26:30 GMT 2025","Sun Feb 23 18:26:30 GMT 2025","419","webkit","test.test.ts","","","","Test 1",""
"passed","Sun Feb 23 18:26:24 GMT 2025","Sun Feb 23 18:26:25 GMT 2025","606","webkit","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 18:26:23 GMT 2025","Sun Feb 23 18:26:23 GMT 2025","542","firefox","test.test.ts","","","","Test 1",""
"passed","Sun Feb 23 18:26:27 GMT 2025","Sun Feb 23 18:26:30 GMT 2025","2619","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 18:26:10 GMT 2025","Sun Feb 23 18:26:10 GMT 2025","497","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 18:26:18 GMT 2025","Sun Feb 23 18:26:20 GMT 2025","2409","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 18:26:25 GMT 2025","Sun Feb 23 18:26:25 GMT 2025","510","webkit","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
